borough,date,count
BRONX,2019-11-02,26
BRONX,2019-11-19,28
BROOKLYN,2019-11-27,41
QUEENS,2019-11-29,6
BRONX,2018-08-25,54
QUEENS,2018-10-14,17
BRONX,2019-02-06,44
STATEN ISLAND,2019-03-22,19
BRONX,2019-07-01,38
QUEENS,2019-08-09,13
MANHATTAN,2019-08-14,115
STATEN ISLAND,2019-12-26,1
QUEENS,2018-01-21,46
BRONX,2018-04-13,62
BRONX,2018-03-08,43
STATEN ISLAND,2018-03-27,1
BROOKLYN,2018-05-16,61
MANHATTAN,2018-07-07,37
QUEENS,2018-07-27,18
BROOKLYN,2018-08-02,116
QUEENS,2018-08-16,14
STATEN ISLAND,2018-10-13,13
MANHATTAN,2018-10-21,38
QUEENS,2018-12-14,19
BROOKLYN,2019-04-24,102
STATEN ISLAND,2019-05-31,1
STATEN ISLAND,2019-06-15,13
BROOKLYN,2019-06-29,22
BRONX,2019-07-07,65
BRONX,2019-07-17,95
MANHATTAN,2019-10-16,48
STATEN ISLAND,2019-10-24,1
QUEENS,2018-10-16,23
MANHATTAN,2018-11-08,58
STATEN ISLAND,2019-01-12,9
BROOKLYN,2019-01-20,22
STATEN ISLAND,2019-03-17,7
MANHATTAN,2019-09-07,45
STATEN ISLAND,2018-01-30,8
MANHATTAN,2018-05-23,36
QUEENS,2018-07-08,58
QUEENS,2018-02-01,36
QUEENS,2018-02-21,23
BROOKLYN,2018-03-13,34
STATEN ISLAND,2018-04-02,18
STATEN ISLAND,2018-06-08,1
STATEN ISLAND,2018-06-16,8
BRONX,2018-06-19,45
BROOKLYN,2018-08-09,60
BRONX,2019-02-02,40
STATEN ISLAND,2019-02-24,4
QUEENS,2019-02-25,14
STATEN ISLAND,2019-03-13,19
BROOKLYN,2019-06-22,61
BRONX,2019-08-07,31
BRONX,2019-08-13,39
MANHATTAN,2019-10-01,144
BRONX,2019-10-11,12
QUEENS,2019-12-25,1
BROOKLYN,2018-07-15,66
QUEENS,2018-10-06,46
STATEN ISLAND,2019-03-05,5
BRONX,2019-03-28,24
MANHATTAN,2019-04-16,160
BROOKLYN,2019-05-30,31
MANHATTAN,2019-07-27,19
STATEN ISLAND,2019-09-08,6
BRONX,2019-10-08,11
QUEENS,2019-10-31,13
QUEENS,2019-12-19,30
MANHATTAN,2018-02-28,38
BRONX,2018-06-11,44
QUEENS,2018-01-08,30
STATEN ISLAND,2018-02-08,12
STATEN ISLAND,2018-03-02,1
BRONX,2018-05-10,198
MANHATTAN,2018-05-13,19
STATEN ISLAND,2018-05-25,6
MANHATTAN,2018-06-03,24
MANHATTAN,2018-08-04,21
STATEN ISLAND,2018-08-04,5
BRONX,2018-11-13,38
QUEENS,2018-12-24,5
BRONX,2018-12-28,38
STATEN ISLAND,2019-03-03,3
BRONX,2019-05-12,14
BROOKLYN,2019-08-22,81
BROOKLYN,2019-10-20,7
BRONX,2019-11-08,61
BRONX,2019-12-30,7
QUEENS,2018-08-29,6
QUEENS,2018-09-22,23
MANHATTAN,2018-09-24,15
QUEENS,2018-09-29,36
QUEENS,2018-10-09,54
BROOKLYN,2018-12-26,50
BROOKLYN,2018-12-25,1
QUEENS,2019-02-10,13
STATEN ISLAND,2019-04-02,3
QUEENS,2019-07-30,52
STATEN ISLAND,2018-01-27,3
STATEN ISLAND,2018-02-04,8
BROOKLYN,2018-02-06,53
BROOKLYN,2018-02-25,38
MANHATTAN,2018-03-17,48
MANHATTAN,2018-03-23,54
STATEN ISLAND,2018-03-29,10
STATEN ISLAND,2018-05-01,6
QUEENS,2018-07-07,47
BRONX,2018-03-13,38
STATEN ISLAND,2018-04-08,14
BROOKLYN,2018-05-04,66
BRONX,2018-05-28,49
STATEN ISLAND,2018-10-18,7
MANHATTAN,2018-11-18,14
MANHATTAN,2019-01-18,103
BROOKLYN,2019-01-30,51
QUEENS,2019-02-04,28
QUEENS,2019-02-18,15
BROOKLYN,2019-03-18,80
MANHATTAN,2019-04-08,19
QUEENS,2019-05-23,17
BRONX,2019-06-18,31
BROOKLYN,2019-09-03,28
BRONX,2019-09-04,24
QUEENS,2019-09-25,16
QUEENS,2019-10-03,4
STATEN ISLAND,2019-10-13,5
BROOKLYN,2019-11-19,4
STATEN ISLAND,2019-12-06,4
BRONX,2018-09-02,71
QUEENS,2018-09-08,23
